
 Gee, these are the official results of the ultimate easter event called:

                 M E K K A   &   S Y M P O S I U M   9 8

                      ( w e   a r e   f a m i l y )


Multi-Channel Competition

01  517  Wer hat dicke Eier?           Blueberry/Efreet,Cytron/Depth,Ib/Depth
02  332  Volksintro                    Submissive,Frenetic/Cubic&Seen
03  126  In the Age of a Zivi          ISO:CRASH/Code Red
04   95  Schrottkonzept                Pandephonium
05   78  Osterhase                     Dpm'sdi + zippy'sid'curve'sdi'sth
06   71  mEGGa+symPOSEium              Grey,Graffito,Steel,Shane,Crisp
07   52  Steeler's Ei                  Wunderwerk
08   39  Bostelizer N64 Remix          F.A.S & M.W.
09   35  Wer bremst, hat Angst vor
         Steelers dicken Eiern         08/15 ^ tastaturficker
10   16  Fast Mekka Intro 15 Mins      WdF productions
11    7  Toast                         The Apocalypse Paparazz


C64 Graphic Competition

01  397  Du gemeiner Mîrder - Du bist bîse  Rayden/AFL 1970
02  206  Fantastica                         Wurst Hans / [0]
03  165  I'll remember                      Hardsequencer/Dytec
04  118  Welcome to Telekom                 Raze/Hitmen
05  105  Firestarter                        Sebaloz/Lepsi De
06   85  Chris HÅlsbeck                     Zealot/Out of Order
07   53  Tyrany                             AEG/Smash
08   39  Monster                            Katon/Lepsi De
09   35  Knight                             Crayon/Anubis
10   25  Lurking Death                      Assassin/Willow
11   23  Love                               Zeitgeist/Civitas/Willow
12   17  Dissector                          Brainsmasher/Civitas/Willow
13   16  Kentucky                           Flip/Centric
14   14  Amazon                             Bleze/Willow/TUM
15   11  PortrÑt des Prospektoren K.T.      Bugjam/Role
16    6  Emptyview                          Hogan/Reflex


C64 Demo Competition

01  274  Our Darkness       Keine Ahnung
02  170  Reanim8ed          Hitmen
03  162  Krestyron          Oxyron
04  118  Splish Splash      Padua
05   99  Payday             Smash Designs
06   98  Trip to Nepa(l) 2  Cascade
07   75  Licence            Lybis/WOW
08   46  Purpose of Life    Whathas2BSaid
09   45  Booze              Metalvotze
10   40  Oldstyle           Willow
11   22  Beerstation        Iceman/WOW
12   14  Daehmon            Shitmen & Hotstuffaz
13   11  Ficken im Zelt     Doppelkeks/Seminar


C64 4K Competition

1  459  Smash                       Smash
2  165  Double-Plasma               Flip/Centric
3  123  Just for fun                Didi/Laxity
4  103  <4KB                        Leonardo/Padua
5   72  Oldschool                   Syndrom/TIA
6   67  Style                       Iceman/W.O.W
7   57  Ficken -
        The Steeler Retrospective   Schwengel+Crossbow/Karlsquell Serwiss
